,Place,Name,Event,Team,Time,Points,Gender
335,1,University of Hawaii,200 Free Relay,University of Hawaii,1:29.63,40.0,Female
336,2,UC San Diego,200 Free Relay,UC San Diego,1:30.00,34.0,Female
337,3,Brigham Young University,200 Free Relay,Brigham Young University,1:32.85,32.0,Female
338,4,"University of California, Davis",200 Free Relay,"University of California, Davis",1:33.59,30.0,Female
339,5,University of San Diego,200 Free Relay,University of San Diego,1:33.99,28.0,Female
340,6,UC Santa Barbara,200 Free Relay,UC Santa Barbara,1:34.30,26.0,Female
341,7,California State University Bakersfield,200 Free Relay,California State University Bakersfield,1:35.75,24.0,Female
342,8,University of the Pacific,200 Free Relay,University of the Pacific,1:35.93,22.0,Female
343,9,Cal Poly,200 Free Relay,Cal Poly,1:36.33,18.0,Female
344,10,University of Incarnate Word,200 Free Relay,University of Incarnate Word,1:36.82,14.0,Female
345,1,University of Hawaii,400 Free Relay,University of Hawaii,3:16.45,40.0,Female
346,2,UC San Diego,400 Free Relay,UC San Diego,3:21.44,34.0,Female
347,3,Brigham Young University,400 Free Relay,Brigham Young University,3:23.43,32.0,Female
348,4,"University of California, Davis",400 Free Relay,"University of California, Davis",3:24.48,30.0,Female
349,5,UC Santa Barbara,400 Free Relay,UC Santa Barbara,3:25.46,28.0,Female
350,6,California State University Bakersfield,400 Free Relay,California State University Bakersfield,3:25.96,26.0,Female
351,7,University of the Pacific,400 Free Relay,University of the Pacific,3:26.67,24.0,Female
352,8,University of San Diego,400 Free Relay,University of San Diego,3:29.59,22.0,Female
353,9,Cal Poly,400 Free Relay,Cal Poly,3:30.82,18.0,Female
354,10,University of Incarnate Word,400 Free Relay,University of Incarnate Word,3:32.36,14.0,Female
355,1,University of Hawaii,800 Free Relay,University of Hawaii,7:15.43,40.0,Female
356,2,UC San Diego,800 Free Relay,UC San Diego,7:19.69,34.0,Female
357,3,UC Santa Barbara,800 Free Relay,UC Santa Barbara,7:25.12,32.0,Female
358,4,California State University Bakersfield,800 Free Relay,California State University Bakersfield,7:31.64,30.0,Female
359,5,"University of California, Davis",800 Free Relay,"University of California, Davis",7:32.47,28.0,Female
360,6,University of Incarnate Word,800 Free Relay,University of Incarnate Word,7:36.60,26.0,Female
361,7,University of the Pacific,800 Free Relay,University of the Pacific,7:37.52,24.0,Female
362,8,Brigham Young University,800 Free Relay,Brigham Young University,7:38.12,22.0,Female
363,9,Cal Poly,800 Free Relay,Cal Poly,7:43.14,18.0,Female
364,10,University of San Diego,800 Free Relay,University of San Diego,7:44.14,14.0,Female
365,1,University of Hawaii,200 Medley Relay,University of Hawaii,1:38.56,40.0,Female
366,2,UC San Diego,200 Medley Relay,UC San Diego,1:38.79,34.0,Female
367,3,Brigham Young University,200 Medley Relay,Brigham Young University,1:41.32,32.0,Female
368,4,UC Santa Barbara,200 Medley Relay,UC Santa Barbara,1:42.07,30.0,Female
369,5,"University of California, Davis",200 Medley Relay,"University of California, Davis",1:42.09,28.0,Female
370,6,California State University Bakersfield,200 Medley Relay,California State University Bakersfield,1:42.90,26.0,Female
371,7,University of San Diego,200 Medley Relay,University of San Diego,1:44.42,24.0,Female
372,8,Cal Poly,200 Medley Relay,Cal Poly,1:44.81,22.0,Female
373,9,University of the Pacific,200 Medley Relay,University of the Pacific,1:45.36,18.0,Female
374,10,University of Incarnate Word,200 Medley Relay,University of Incarnate Word,1:45.63,14.0,Female
375,1,University of Hawaii,400 Medley Relay,University of Hawaii,3:36.43,40.0,Female
376,2,UC San Diego,400 Medley Relay,UC San Diego,3:38.45,34.0,Female
377,3,UC Santa Barbara,400 Medley Relay,UC Santa Barbara,3:42.29,32.0,Female
378,4,Brigham Young University,400 Medley Relay,Brigham Young University,3:42.69,30.0,Female
379,5,California State University Bakersfield,400 Medley Relay,California State University Bakersfield,3:44.95,28.0,Female
380,6,"University of California, Davis",400 Medley Relay,"University of California, Davis",3:45.00,26.0,Female
381,7,University of the Pacific,400 Medley Relay,University of the Pacific,3:51.99,24.0,Female
382,8,University of San Diego,400 Medley Relay,University of San Diego,3:52.27,22.0,Female
383,9,University of Incarnate Word,400 Medley Relay,University of Incarnate Word,3:53.27,18.0,Female
384,10,Cal Poly,400 Medley Relay,Cal Poly,3:54.04,14.0,Female
