,Place,Name,Event,Team,Time,Points,Gender
320,8,Lyndon Kov,1 Meter,University of Incarnate Word,302.40,11.0,Male
321,1,Mickey Strauss,3 Meter,Brigham Young University,391.95,20.0,Male
322,2,Max Powell,3 Meter,Cal Poly,386.80,17.0,Male
323,3,Dyson Modica,3 Meter,California State University Bakersfield,368.30,16.0,Male
324,4,Chase Hindmarsh,3 Meter,Brigham Young University,346.88,15.0,Male
325,5,Juan Gonzalez,3 Meter,University of Hawaii,343.20,14.0,Male
326,6,Mackaby Pennington,3 Meter,University of Hawaii,304.30,13.0,Male
327,7,Nathan Marshall,3 Meter,Brigham Young University,288.53,12.0,Male
328,8,Dawson Mozisek,3 Meter,University of Incarnate Word,283.58,11.0,Male
329,1,Mackaby Pennington,Platform,University of Hawaii,338.05,20.0,Male
330,2,Juan Gonzalez,Platform,University of Hawaii,321.10,17.0,Male
331,3,Mickey Strauss,Platform,Brigham Young University,319.30,16.0,Male
332,4,Carter Davis,Platform,Brigham Young University,283.80,15.0,Male
333,5,Cody Dreesen,Platform,Brigham Young University,243.10,14.0,Male
334,1,University of Incarnate Word,200 Free Relay,University of Incarnate Word,1:19.52,40.0,Male
335,2,Brigham Young University,200 Free Relay,Brigham Young University,1:19.65,34.0,Male
336,3,UC Santa Barbara,200 Free Relay,UC Santa Barbara,1:19.94,32.0,Male
337,4,University of Hawaii,200 Free Relay,University of Hawaii,1:20.95,30.0,Male
338,5,California State University Bakersfield,200 Free Relay,California State University Bakersfield,1:21.05,28.0,Male
339,6,UC San Diego,200 Free Relay,UC San Diego,1:21.14,26.0,Male
340,7,Cal Poly,200 Free Relay,Cal Poly,1:22.21,24.0,Male
341,8,University of the Pacific,200 Free Relay,University of the Pacific,1:22.71,22.0,Male
342,1,UC Santa Barbara,400 Free Relay,UC Santa Barbara,2:52.96,40.0,Male
343,2,University of Hawaii,400 Free Relay,University of Hawaii,2:54.41,34.0,Male
344,3,Brigham Young University,400 Free Relay,Brigham Young University,2:55.06,32.0,Male
345,4,University of Incarnate Word,400 Free Relay,University of Incarnate Word,2:55.28,30.0,Male
346,5,UC San Diego,400 Free Relay,UC San Diego,2:57.18,28.0,Male
347,6,California State University Bakersfield,400 Free Relay,California State University Bakersfield,2:59.53,26.0,Male
348,7,University of the Pacific,400 Free Relay,University of the Pacific,3:01.39,24.0,Male
349,8,Cal Poly,400 Free Relay,Cal Poly,3:02.32,22.0,Male
350,1,UC Santa Barbara,800 Free Relay,UC Santa Barbara,6:31.27,40.0,Male
351,2,UC San Diego,800 Free Relay,UC San Diego,6:33.66,34.0,Male
352,3,Brigham Young University,800 Free Relay,Brigham Young University,6:34.65,32.0,Male
353,4,University of Incarnate Word,800 Free Relay,University of Incarnate Word,6:36.91,30.0,Male
354,5,California State University Bakersfield,800 Free Relay,California State University Bakersfield,6:36.98,28.0,Male
355,6,University of Hawaii,800 Free Relay,University of Hawaii,6:44.53,26.0,Male
356,7,University of the Pacific,800 Free Relay,University of the Pacific,6:44.69,24.0,Male
357,8,Cal Poly,800 Free Relay,Cal Poly,6:58.02,22.0,Male
358,1,UC Santa Barbara,200 Medley Relay,UC Santa Barbara,1:26.63,40.0,Male
359,2,Brigham Young University,200 Medley Relay,Brigham Young University,1:26.74,34.0,Male
360,3,University of Incarnate Word,200 Medley Relay,University of Incarnate Word,1:27.87,32.0,Male
361,4,University of Hawaii,200 Medley Relay,University of Hawaii,1:28.08,30.0,Male
362,5,UC San Diego,200 Medley Relay,UC San Diego,1:29.13,28.0,Male
363,6,California State University Bakersfield,200 Medley Relay,California State University Bakersfield,1:29.45,26.0,Male
364,7,Cal Poly,200 Medley Relay,Cal Poly,1:31.66,24.0,Male
365,8,University of the Pacific,200 Medley Relay,University of the Pacific,1:32.90,22.0,Male
366,1,Brigham Young University,400 Medley Relay,Brigham Young University,3:10.23,40.0,Male
367,2,UC Santa Barbara,400 Medley Relay,UC Santa Barbara,3:10.38,34.0,Male
368,3,University of Incarnate Word,400 Medley Relay,University of Incarnate Word,3:11.53,32.0,Male
369,4,UC San Diego,400 Medley Relay,UC San Diego,3:15.32,30.0,Male
370,5,California State University Bakersfield,400 Medley Relay,California State University Bakersfield,3:15.69,28.0,Male
371,6,University of Hawaii,400 Medley Relay,University of Hawaii,3:15.81,26.0,Male
372,7,University of the Pacific,400 Medley Relay,University of the Pacific,3:19.29,24.0,Male
373,8,Cal Poly,400 Medley Relay,Cal Poly,3:20.47,22.0,Male
